Alpha,T1-10.9 m/s-VLM2, , Alpha,T1-15.8 m/s-VLM2, , Alpha,T1-2.8 m/s-VLM2, , Alpha,T1-20.6 m/s-VLM2, , Alpha,T1-23.4 m/s-VLM2, , Alpha,T1-24.0 m/s-VLM2, , Alpha,T1-26.8 m/s-VLM2, , Alpha,T1-28.0 m/s-VLM2, , Alpha,T1-28.7 m/s-VLM2, , Alpha,T1-3.5 m/s-VLM2, , Alpha,T1-4.7 m/s-VLM2, , Alpha,T1-7.5 m/s-VLM2, , Alpha,T1-8.1 m/s-VLM2, , 
          2.2,      7.757114, ,           2.2,      8.325898, ,           2.2,      4.798649, ,           2.2,      8.547825, ,           2.2,      8.626575, ,           2.2,      8.639588, ,           2.2,      8.700318, ,           2.2,      8.724491, ,           2.2,      8.736693, ,           2.2,      5.193679, ,           2.2,       6.03936, ,           2.2,       6.99751, ,           2.2,      7.119178, , 
          2.4,      7.711236, ,           2.4,      8.290854, ,           2.4,      4.763484, ,           2.4,      8.515053, ,           2.4,      8.594379, ,           2.4,      8.607487, ,           2.4,      8.668637, ,           2.4,      8.692967, ,           2.4,      8.705258, ,           2.4,      5.149283, ,           2.4,      5.973889, ,           2.4,      6.934942, ,           2.4,      7.059013, , 
          2.6,       7.66277, ,           2.6,      8.254125, ,           2.6,      4.727695, ,           2.6,      8.480712, ,           2.6,      8.560609, ,           2.6,      8.573818, ,           2.6,      8.635406, ,           2.6,      8.659887, ,           2.6,      8.672265, ,           2.6,      5.104005, ,           2.6,      5.906932, ,           2.6,      6.868856, ,           2.6,      6.995443, , 
          2.8,      7.611702, ,           2.8,      8.215852, ,           2.8,        4.6913, ,           2.8,      8.444963, ,           2.8,      8.525431, ,           2.8,       8.53875, ,           2.8,      8.600807, ,           2.8,       8.62545, ,           2.8,      8.637917, ,           2.8,       5.05786, ,           2.8,      5.838501, ,           2.8,      6.799264, ,           2.8,      6.928466, , 
            3,      7.558009, ,             3,      8.176158, ,             3,      4.654142, ,             3,      8.407893, ,             3,       8.48894, ,             3,       8.50236, ,             3,      8.564911, ,             3,      8.589764, ,             3,      8.602338, ,             3,       5.01075, ,             3,      5.768651, ,             3,      6.725919, ,             3,      6.857866, , 
          3.2,      7.501382, ,           3.2,      8.135024, ,           3.2,      4.616522, ,           3.2,      8.369547, ,           3.2,      8.451259, ,           3.2,      8.464771, ,           3.2,      8.527842, ,           3.2,       8.55295, ,           3.2,       8.56565, ,           3.2,      4.962905, ,           3.2,      5.697433, ,           3.2,      6.648802, ,           3.2,      6.783569, , 
          3.4,      7.441901, ,           3.4,      8.092473, ,           3.4,       4.57828, ,           3.4,      8.330066, ,           3.4,      8.412515, ,           3.4,      8.426122, ,           3.4,      8.489726, ,           3.4,      8.515098, ,           3.4,      8.527932, ,           3.4,      4.914256, ,           3.4,      5.625009, ,           3.4,      6.567903, ,           3.4,      6.705578, , 
          3.6,      7.378872, ,           3.6,      8.048504, ,           3.6,      4.539558, ,           3.6,      8.289533, ,           3.6,      8.372773, ,           3.6,      8.386484, ,           3.6,      8.450644, ,           3.6,      8.476275, ,           3.6,      8.489246, ,           3.6,      4.864855, ,           3.6,      5.551236, ,           3.6,      6.483178, ,           3.6,       6.62373, , 
          3.8,      7.312236, ,           3.8,      8.003193, ,           3.8,      4.500305, ,           3.8,      8.248052, ,           3.8,      8.332119, ,           3.8,      8.345978, ,           3.8,      8.410788, ,           3.8,      8.436656, ,           3.8,      8.449756, ,           3.8,      4.814588, ,           3.8,      5.475893, ,           3.8,        6.3948, ,           3.8,       6.53816, , 
            4,      7.241168, ,             4,      7.956427, ,             4,      4.460219, ,             4,      8.205671, ,             4,      8.290657, ,             4,      8.304692, ,             4,       8.37023, ,             4,      8.396332, ,             4,      8.409558, ,             4,      4.763009, ,             4,      5.398285, ,             4,      6.303037, ,             4,      6.448955, , 
          4.2,      7.165805, ,           4.2,      7.908248, ,           4.2,      4.418975, ,           4.2,      8.162331, ,           4.2,      8.248399, ,           4.2,      8.262614, ,           4.2,      8.328953, ,           4.2,      8.355352, ,           4.2,      8.368725, ,           4.2,      4.709532, ,           4.2,      5.317385, ,           4.2,       6.20862, ,           4.2,      6.356765, , 
          4.4,      7.085254, ,           4.4,      7.858686, ,           4.4,      4.377206, ,           4.4,      8.118105, ,           4.4,      8.205377, ,           4.4,      8.219763, ,           4.4,      8.286942, ,           4.4,      8.313696, ,           4.4,      8.327239, ,           4.4,      4.655144, ,           4.4,      5.234946, ,           4.4,      6.112301, ,           4.4,       6.26209, , 
          4.6,      6.998426, ,           4.6,      7.807706, ,           4.6,      4.334617, ,           4.6,      8.073127, ,           4.6,      8.161692, ,           4.6,      8.176243, ,           4.6,      8.244258, ,           4.6,      8.271381, ,           4.6,      8.285102, ,           4.6,      4.599349, ,           4.6,      5.150139, ,           4.6,      6.014537, ,           4.6,      6.165148, , 
