Alpha,T1-10.9 m/s-VLM2, , Alpha,T1-15.8 m/s-VLM2, , Alpha,T1-2.8 m/s-VLM2, , Alpha,T1-20.6 m/s-VLM2, , Alpha,T1-23.4 m/s-VLM2, , Alpha,T1-24.0 m/s-VLM2, , Alpha,T1-26.8 m/s-VLM2, , Alpha,T1-28.0 m/s-VLM2, , Alpha,T1-28.7 m/s-VLM2, , Alpha,T1-3.5 m/s-VLM2, , Alpha,T1-4.7 m/s-VLM2, , Alpha,T1-7.5 m/s-VLM2, , Alpha,T1-8.1 m/s-VLM2, , 
            6,      7.814541, ,             6,      7.613809, ,             6,      9.043076, ,             6,      7.494846, ,             6,      7.436874, ,             6,      7.425528, ,             6,      7.383358, ,             6,      7.365631, ,             6,      7.357044, ,             6,      8.843689, ,             6,      8.559103, ,             6,      8.107305, ,             6,      8.046246, , 
          6.2,      7.856941, ,           6.2,      7.660124, ,           6.2,      9.078897, ,           6.2,      7.538282, ,           6.2,      7.483091, ,           6.2,      7.473084, ,           6.2,      7.428705, ,           6.2,      7.411112, ,           6.2,      7.402566, ,           6.2,      8.879924, ,           6.2,      8.595845, ,           6.2,      8.145686, ,           6.2,      8.085434, , 
          6.4,      7.901022, ,           6.4,      7.703271, ,           6.4,      9.116498, ,           6.4,      7.586276, ,           6.4,       7.53317, ,           6.4,      7.523327, ,           6.4,        7.4795, ,           6.4,      7.461823, ,           6.4,      7.453256, ,           6.4,      8.917858, ,           6.4,      8.634142, ,           6.4,       8.18535, ,           6.4,      8.125971, , 
          6.6,       7.94615, ,           6.6,      7.749173, ,           6.6,      9.158163, ,           6.6,      7.635409, ,           6.6,      7.584011, ,           6.6,      7.574412, ,           6.6,      7.531365, ,           6.6,      7.514308, ,           6.6,      7.505813, ,           6.6,      8.959397, ,           6.6,      8.675146, ,           6.6,      8.226144, ,           6.6,      8.167641, , 
          6.8,      7.992451, ,           6.8,      7.797479, ,           6.8,      9.199855, ,           6.8,      7.685718, ,           6.8,      7.635856, ,           6.8,      7.626474, ,           6.8,      7.583683, ,           6.8,       7.56745, ,           6.8,      7.559034, ,           6.8,       9.00114, ,           6.8,      8.716648, ,           6.8,      8.268028, ,           6.8,      8.210409, , 
            7,      8.039674, ,             7,      7.846796, ,             7,      9.242982, ,             7,      7.736483, ,             7,      7.687685, ,             7,      7.678661, ,             7,      7.637159, ,             7,      7.620682, ,             7,        7.6126, ,             7,      9.044237, ,             7,      8.759388, ,             7,      8.311052, ,             7,      8.254288, , 
          7.2,      8.087627, ,           7.2,      7.896835, ,           7.2,       9.28743, ,           7.2,      7.787838, ,           7.2,       7.74015, ,           7.2,      7.731368, ,           7.2,      7.690632, ,           7.2,      7.674254, ,           7.2,      7.666316, ,           7.2,      9.088512, ,           7.2,      8.803233, ,           7.2,      8.355256, ,           7.2,      8.299251, , 
          7.4,      8.137996, ,           7.4,      7.947747, ,           7.4,      9.367615, ,           7.4,      7.839804, ,           7.4,      7.792952, ,           7.4,      7.784278, ,           7.4,      7.744493, ,           7.4,      7.728446, ,           7.4,       7.72045, ,           7.4,      9.154893, ,           7.4,      8.854284, ,           7.4,       8.40481, ,           7.4,      8.349583, , 
          7.6,      8.187292, ,           7.6,      7.999419, ,           7.6,      9.415149, ,           7.6,      7.892314, ,           7.6,      7.846212, ,           7.6,      7.837657, ,           7.6,        7.7985, ,           7.6,      7.783156, ,           7.6,      7.775294, ,           7.6,      9.201914, ,           7.6,      8.900381, ,           7.6,       8.45099, ,           7.6,      8.396504, , 
          7.8,      8.237168, ,           7.8,      8.051385, ,           7.8,      9.464116, ,           7.8,      7.945066, ,           7.8,      7.899211, ,           7.8,      7.890651, ,           7.8,      7.852452, ,           7.8,      7.837315, ,           7.8,      7.829663, ,           7.8,      9.250277, ,           7.8,      8.947619, ,           7.8,      8.498001, ,           7.8,      8.444243, , 
            8,       8.28786, ,             8,      8.104067, ,             8,      9.514647, ,             8,      7.998711, ,             8,      7.953184, ,             8,      7.944776, ,             8,      7.906852, ,             8,      7.892066, ,             8,      7.884809, ,             8,      9.300081, ,             8,      8.996078, ,             8,      8.545821, ,             8,      8.492769, , 

