Alpha,T1-10.9 m/s-VLM2, , Alpha,T1-15.8 m/s-VLM2, , Alpha,T1-2.8 m/s-VLM2, , Alpha,T1-20.6 m/s-VLM2, , Alpha,T1-23.4 m/s-VLM2, , Alpha,T1-26.8 m/s-VLM2, , Alpha,T1-28.0 m/s-VLM2, , Alpha,T1-28.7 m/s-VLM2, , Alpha,T1-3.5 m/s-VLM2, , Alpha,T1-4.7 m/s-VLM2, , Alpha,T1-8.1 m/s-VLM2, , 
            6,      6.092753, ,             6,      6.265971, ,             6,      4.549395, ,             6,      6.355047, ,             6,      6.392328, ,             6,      6.433766, ,             6,      6.448214, ,             6,      6.453704, ,             6,      4.939484, ,             6,      5.301835, ,             6,      5.880127, , 
          6.2,      6.063379, ,           6.2,      6.239307, ,           6.2,      4.521393, ,           6.2,      6.328921, ,           6.2,      6.366305, ,           6.2,      6.407438, ,           6.2,      6.422141, ,           6.2,      6.429939, ,           6.2,      4.909048, ,           6.2,      5.268518, ,           6.2,      5.844844, , 
          6.4,      6.033289, ,           6.4,      6.212143, ,           6.4,      4.493153, ,           6.4,      6.302309, ,           6.4,      6.339791, ,           6.4,      6.380671, ,           6.4,      6.395526, ,           6.4,       6.40324, ,           6.4,      4.878137, ,           6.4,      5.234332, ,           6.4,        5.8082, , 
          6.6,      6.002467, ,           6.6,      6.184518, ,           6.6,      4.464725, ,           6.6,      6.275251, ,           6.6,      6.312869, ,           6.6,      6.353687, ,           6.6,      6.368623, ,           6.6,      6.376258, ,           6.6,      4.846799, ,           6.6,      5.199358, ,           6.6,      5.770248, , 
          6.8,      5.970991, ,           6.8,      6.156475, ,           6.8,       4.43645, ,           6.8,      6.247809, ,           6.8,       6.28543, ,           6.8,       6.32638, ,           6.8,        6.3411, ,           6.8,      6.348642, ,           6.8,      4.815093, ,           6.8,      5.163651, ,           6.8,      5.731101, , 
            7,      5.938617, ,             7,      6.128037, ,             7,      4.407828, ,             7,      6.220064, ,             7,      6.257678, ,             7,      6.298313, ,             7,      6.312809, ,             7,      6.320198, ,             7,      4.782991, ,             7,      5.126985, ,             7,      5.690217, , 
          7.2,      5.905385, ,           7.2,      6.099223, ,           7.2,      4.378903, ,           7.2,      6.192059, ,           7.2,      6.229902, ,           7.2,      6.270887, ,           7.2,      6.285337, ,           7.2,      6.292701, ,           7.2,      4.750428, ,           7.2,      5.089482, ,           7.2,      5.647969, , 
          7.4,      5.871235, ,           7.4,      6.070079, ,           7.4,      4.349867, ,           7.4,        6.1638, ,           7.4,      6.201728, ,           7.4,      6.242425, ,           7.4,       6.25671, ,           7.4,      6.263988, ,           7.4,      4.717513, ,           7.4,      5.051333, ,           7.4,      5.604674, , 
          7.6,      5.836067, ,           7.6,      6.040623, ,           7.6,      4.320756, ,           7.6,      6.135307, ,           7.6,      6.173341, ,           7.6,      6.214188, ,           7.6,      6.228007, ,           7.6,      6.235202, ,           7.6,       4.68424, ,           7.6,      5.012496, ,           7.6,      5.560236, , 
          7.8,      5.799651, ,           7.8,      6.010839, ,           7.8,       4.29141, ,           7.8,      6.106525, ,           7.8,      6.144689, ,           7.8,      6.185646, ,           7.8,      6.199735, ,           7.8,      6.206804, ,           7.8,      4.650422, ,           7.8,      4.972601, ,           7.8,      5.514048, , 
            8,      5.761616, ,             8,      5.980658, ,             8,      4.262099, ,             8,      6.077558, ,             8,      6.115789, ,             8,      6.156724, ,             8,      6.170624, ,             8,      6.177704, ,             8,      4.616548, ,             8,      4.932795, ,             8,       5.46784, , 

